All,Све
None,Ништа
"Allowed Scopes","Дозвољена стања"
"You need more permissions to delete this item(s): %1.","Потребно вам је више дозвола да обришете овај артикал(артикле): %1."
"You need more permissions to apply some of the rule updates.","Потребне су Вам дозволе вишег нивоа да примените неку од правила допуне."
"Please assign this entity to a store view.","Молим доделите овај ентитет приказу продавнице."
"You can create orders only in an active store.","Поруџбине можете правити само у активној продавници."
"Please assign this item to a store view.","Молим доделите овај артикал приказу продавнице."
"You need more permissions to save this item.","Потребне су Вам веће привилегије да снимите овај артикал."
"You need more permissions to delete this item.","Потребне су Вам веће привилегије да обришете овај артикал."
"You need more permissions to view this item.","Потребне су Вам веће привилегије да прикажете овај артикал."
"Please specify at least one website or one store group.","Молимо да наведете барем један wебсајт или групу продавница."
"You need more permissions to set All Scopes to a Role.","Потребне су Вам веће првилегије да поставите Све Области у ову Улогу."
"Incorrect website ID: %1","Неисправан wебсајт ИД: %1"
"You need more permissions to access website ""%1"".","Потребне су Вам више дозволе да приступите wебсајту ""%1""."
"Incorrect store ID: %1","Неисправан ИД продавнице: %1"
"You need more permissions to save this setting.","Потребне су Вам веће привилегије да снимите ово подешавање."
"Role Scopes","Све Области"
Custom,Изборно
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Немате дозволу да сачувате овај артикал на тренутном нивоу приказа продавнице. Молимо вас, пребаците се на дозвољени приказ продавнице"
"More permissions are needed to delete the ""%1"" item.","Потребно је више дозвола да бисте обрисали ставку ""%1”."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Овај ентитет мора бити додељен приказу продавнице. Проверите коме је додељен ентитет и покушајте поново."
"Orders can only be completed in an active store. Verify the store and try again.","Поруџбине могу бити извршене само у активној продавници. Проверите продавницу и покушајте поново."
"This item needs to be assigned to a store view. Assign item and try again.","Овај артикал мора бити додељен приказу продавнице. Доделите артикал и покушајте поново."
"More permissions are needed to save this item.","Треба вам више дозвола да бисте сачували овај артикал."
"More permissions are needed to delete this item.","Потребно је више дозвола да бисте обрисали ову ставку."
"More permissions are needed to view this item.","Потребно је више дозвола да бисте видели ову ставку."
"At least one website or store group needs to be selected. Select and try again.","Барем један вебсајт или група продавница мора бити изабрана. Изаберите и покушајте поново."
"More permissions are needed to set All Scopes to a Role.","Потребно је више дозвола да бисте поставили све опсеге на Улогу."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" ИД вебсајта је неисправан. Проверите ИД вебсајта и покушајте поново."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" ИД продавнице је неисправан. Проверите ИД продавнице и покушајте поново."
"More permissions are needed to save this setting.","Потребно је више дозвола да бисте сачували ово подешавање."
"Read Details","Прочитајте детаље"
"Mark as Read","Означи као прочитано"
"Are you sure?","Да ли сте сигурни?"
Remove,Уклони
"Messages Inbox",Сандуче
"You have %1 new system messages","Имате %1 нових системских порука"
"You have %1 new system message","Имате %1 нову системскиу поруку"
"Incoming Message","Долазећа порука"
close,затвори
Notifications,Обавештења
"The message has been marked as Read.","Порука је означена као прочитана."
"We couldn't mark the notification as Read because of an error.","Нисмо могли означити обавештење као прочитано због грешке."
"Please select messages.","Молимо одаберите поруке."
"A total of %1 record(s) have been marked as Read.","Укупно %1 запис(а) је означено као прочитано."
"Total of %1 record(s) have been removed.","Укупно %1 запис(а) је означено као уклоњено."
"We couldn't remove the messages because of an error.","Нисмо могли уклонити поруке због грешке."
"The message has been removed.","Порука је уклоњена."
"1 Hour","1 сат"
"2 Hours","2 сата"
"6 Hours","6 сати"
"12 Hours","12 сати"
"24 Hours","24 сата"
critical,критично
major,главни
minor,мањи
notice,напомена
"Wrong message type","Погрешна порука"
"Wrong notification ID specified.","Погрешно наведена ИД ознака."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{басе_урл}} се не препоручује за коришћење у производном окружењу за опис основног Несигурног УРЛ/ Сигурносног УРЛ. Због тога се препоручује промена ове вредности у ваш Магенто <а хреф=""%1"">конфигурацију</а>."
"One or more of the Cache Types are invalidated: %1. ","Један или више типова кеша су поништени: %1."
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Идите на <а хреф=""%1"">за управљање кешом</а> и освежите типове кеша."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Није било могуће синхронизовати једну или више медијских датотека. Погледајте дневник евиденције за детаље."
"Synchronization of media storages has been completed.","Синхронизација складишта медија је довршено."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Ваш wеб сервер је неисправно подешен и омогућава неовлашћени приступ осетљивим датотекама. Молимо вас да контактирате вашег провајдера."
"System Messages:","Системске поруке:"
"Critical System Messages","Критичне системске проуке"
"Major System Messages","Важне системске поруке"
"System messages","Системске поруке"
Close,Затвори
"See All (","Погледај Све ("
" unread)",непрочитане)
"Show Toolbar","Прикажи траку са алаткама"
"Show List","Прикажи листу"
"Use HTTPS to Get Feed","Користите ХТТПС се Гет Феед"
"Update Frequency","Ажурирај учесталост"
"Last Update","Последња промена"
Severity,Озбиљност
"Date Added","Датум Додавања"
Message,Порука
Actions,Радње
"Close popup","Угасите попуп"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Прегледали сте и решили све недавне системске нотификације. Освежите wеб страницу да бисте очистили обавештење."
"Manage Shopping Cart","Ажурирање корпе са артиклима"
"Create Order","Креирање наруџбине"
Back,Назад
"Add Products","Додај производе"
"Update Items and Quantities","Ажурирање ставки и количине"
"Are you sure you want to clear your cart?","Да ли сте сигурни да желите да испразните корпу?"
"Clear my shopping cart","Испразни корпу"
"Add selections to my cart","Додај изабрано у корпу"
Cancel,Одустани
"Shopping Cart for %1 in %2","Колица за куповину %1 у %2"
"Select products you want to buy","Изаберите производе које желите купити"
Product,Производ
Price,Цена
Quantity,Количина
"Products in the Comparison List (%1)","Производи на листи за поређење (%1)"
"Last ordered items (%1)","Последњи поручени артикли (%1)"
Products,Производи
ID,ИД
SKU,Шифра
"Recently Compared Products (%1)","Недавно упоређени производи (%1)"
"Recently Viewed Products (%1)","Недавно прегледани производи (%1)"
